Asset_Num,Serial_Number,Description,BU,BL,Asset_Life,Acquired,Acquisition_Cost,Total_Depn_Value,NBV,Current_Location,Type
I-CHM-H0310-0024,CUSTOMAN-001068/SWT-CM-006,"Choke Manifold 3.00"" 10K",KIU,SWT,120,12/1/2013,"76,408.22","49,696.50","26,711.72",Murtaka Base,Choke Manifold
G-FOR-AAAAA-0007,02-7FDA50 V A410,Forklift 5 Ton,KIU,SWT,120,6/1/2012,"65,000.00","52,909.02","12,090.98",,Florklift
I-ESD-AAAAA-0042,2076.07.10,ESD Panel,KIU,SWT,120,9/1/2011,"65,000.00","61,491.27","3,508.73",Murtaka Base,ESD
I-PCH-HAA15-0037,"112588749002
sure Chart Recorder (1.5k PSI  0-100"" H2O)",KIU,SWT,120,1/2/2012,"3,833.33","3,098.28",735.05,Murtaka Base,Chart recorder
I-DAH-H0310-0033,SWT-DH-006,"Data Header 3.00"" 10K",KIU,SWT,120,6/1/2012,"9,500.00","7,732.89","1,767.11",Murtaka Base,Data Header
I-LOA-AAAAA-0001,LGA 100371211,Loading Gantry - Single Arm,CEU,SWT,120,6/1/2012,"60,000.00","48,073.00","11,927.00",,Loading Gantry
I-LOA-AAAAA-0002,LG-SWT-002,Loading Gantry - Single Arm,KIU,SWT,120,6/1/2012,"60,000.00","49,806.57","10,193.43",,Loading Gantry
I-LOA-AAAAA-0003,,Loading Gantry - Double Arms,KIU,SWT,120,1/2/2012,"60,000.00","49,721.56","10,278.44",,Loading Gantry
E-STN-HYDRO-0129,SWT-FT-015-1/A10037-3,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2012,"58,500.00","44,955.38","13,544.62",,Sto Tank
E-STN-AA100-0039,FGTS-A-6370-1/11,Gauge Tank 100 bbls Atmospheric Dual Compartment Horizontal,KIU,SWT,120,6/1/2014,"58,439.00","42,488.11","15,950.89",Old Base,Gauge Tank
F-LAC-AAAAP-0033,LBCN-002,Lab Cabin Pressurized,KIU,SWT,120,6/1/2014,"58,000.00","42,168.79","15,831.21",Murtaka Base,lab  Cabin
F-LAC-AAAAS-0005,Samp-01 / SWT-WCB-S01,Lab Cabin - Sampling,KIU,SWT,120,12/1/2013,"58,000.00","38,976.12","19,023.88",,Lab  Cabin
I-ESD-AAAAA-0021,CPP-ESD-1027,ESD Panel,KIU,SWT,120,1/1/2014,"25,000.00","19,560.14","5,439.86",Murtaka Base,ESD
I-CHM-H0310-0003,Custman-001062/MSI-7478-12-13/SWT-CM-003,"Choke Manifold 3.00"" 10K",SIU,SWT,120,10/1/2010,"90,000.00","90,000.00",0.00,Murtaka Base,Choke Manifold
E-STN-HYDRO-0086,SWT-FT-003-1/SEPL-N-384,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,12/1/2013,"57,998.20","40,173.47","17,824.73",DNO P-13,Sto Tank
I-ADP-WILDE-0054,,Transfer Air Pump 4000 BPD - Wilden,KIU,SWT,120,9/1/2013,"57,206.03","55,155.67","2,050.36",,Pump Weldon
F-GEN-AAAAA-0040,G120102287,Generator 165 KVA,KIU,SWT,120,4/1/2013,"56,000.00","37,586.79","18,413.21",,Generator
F-GEN-AAAAA-0050,8131414,Generator 13 KVA,KIU,SWT,120,4/1/2013,"56,000.00","37,586.79","18,413.21",,Generator
E-STN-HYDRO-0127,A10027-4-1,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2012,"55,000.00","43,328.34","11,671.66",,Sto Tank
I-EDP-ELECT-0053,DD759/SWT-ETP-011-2,Transfer Electrical Pump 4000 BPD - Traviani,KIU,SWT,120,9/1/2012,"52,209.29","41,129.96","11,079.33",,Pump Electrical
I-ADP-WILDE-0017,,Transfer Air Pump 4000 BPD - Wilden,CEU,SWT,120,9/1/2013,"51,120.00","48,335.64","2,784.36",,Pump Weldon
E-STN-HYDRO-0134,SWT-FT-008-1/C1006-005,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"50,000.00","33,890.43","16,109.57",Murtaka Base,Sto Tank
E-STN-HYDRO-0136,SWT-FT-017-1/A10027-2,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"50,000.00","33,890.43","16,109.57",,Sto Tank
E-STN-HYDRO-0139,C1006-010,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,7/1/2014,"50,000.00","33,437.38","16,562.62",DNO P-13,Sto Tank
E-STN-HYDRO-0140,SWT-FT-012-2/C1006-011,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,7/1/2014,"50,000.00","33,437.38","16,562.62",Murtaka Base,Sto Tank
E-STN-HYDRO-0141,C1006-012,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,7/1/2014,"50,000.00","33,437.38","16,562.62",Murtaka Base,Sto Tank
F-AIC-AAAAA-0026,121004667/SWT-EAC-016,Air Compressor 36 CFM,KIU,SWT,120,11/1/2011,"50,000.00","43,437.37","6,562.63",,Air Compressor
F-AIC-AAAAA-0033,,Air Compressor 400 CFM,KIU,SWT,120,1/2/2012,"41,920.00","33,884.92","8,035.08",,Air Compressor
I-BUH-H0414-0021,4HB-23,Burner 4 Heads 1440 psi,KIU,SWT,120,6/1/2014,"41,715.50","30,136.06","11,579.44",Murtaka Base,Burner
I-ESD-AAAAA-0029,1586.05.09,ESD Panel,KIU,SWT,120,1/1/2014,"25,000.00","19,559.94","5,440.06",Murtaka Base,ESD
I-FLT-AAAAA-0012,FTB-002/1,"Flare line Tubing Set  3.5"" No. 3 KIU-SWT",KIU,SWT,120,1/31/2013,"14,484.69","10,893.44","3,591.25",Murtaka Base,Tubing Basket
I-GAM-H0314-0010,MFD-ADB-17005,"Gas Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"9,500.00","7,575.76","1,924.24",Murtaka Base,Gas Manifold
E-STN-HYDRO-0142,J-12016-001,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2013,"40,733.03","27,639.11","13,093.92",Murtaka Base,Sto Tank
E-STN-HYDRO-0143,J-12016-002,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2013,"40,733.03","27,639.11","13,093.92",Murtaka Base,Sto Tank
E-STN-HYDRO-0144,J-12016-005,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2013,"40,733.03","27,639.11","13,093.92",DNO P-13,Sto Tank
I-GAM-H0314-0025,SWT-GM-004/SWT-GM-004,"Gas Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"9,500.00","7,575.76","1,924.24",Murtaka Base,Gas Manifold
I-GAM-H0314-0045,A-6371-4-11,"Gas Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"9,500.00","7,575.76","1,924.24",Murtaka Base,Gas Manifold
I-GAM-H0314-0013,A-6371-2/11,"Gas Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"9,500.00","7,575.76","1,924.24",Murtaka Base,Gas Manifold
E-STN-HYDRO-0096,SEPL-N-236,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"40,000.00","27,768.76","12,231.24",DNO P-13,Sto Tank
E-STN-HYDRO-0097,SEPL-N-237,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"40,000.00","27,768.76","12,231.24",DNO P-13,Sto Tank
E-STN-HYDRO-0098,SEPL-N-238,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"40,000.00","27,768.76","12,231.24",Murtaka Base,Sto Tank
E-STN-HYDRO-0099,SEPL-N-239,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"40,000.00","27,768.76","12,231.24",DNO P-13,Sto Tank
F-AIC-AAAAA-0070,WUX650281,Air Compressor 90 CFM,CEU,SLS,120,9/1/2015,"18,000.00","8,605.20","9,394.80",,Air Compressor
E-STN-HYDRO-0101,J11081-001,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,6/1/2014,"40,000.00","27,768.76","12,231.24",Murtaka Base,Sto Tank
I-GAM-H0314-0016,MFD-ADB-17001/SWT-GM-011,"Gas Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"9,500.00","7,576.04","1,923.96",Murtaka Base,Gas Manifold
I-INH-H0410-0002,J13020-002/IHT-00214/SWT-IHT-002,Indirect Heater 4.00 MMBTU 10K,KIU,SWT,120,6/1/2014,"197,717.72","119,071.25","78,646.47",Murtaka Base,Indirect Heater
F-LAC-AAANP-0016,SWT-WCB-005,Lab Cabin Non-Pressurized,KIU,SWT,120,7/20/2010,"18,000.00","17,234.28",765.72,Murtaka Base,lab  Cabin
I-GAM-H0314-0046,MFD-ADB-119/SWT-GM-010,"Gas Manifold 3.00"" 1440 psi",SIU,SWT,120,6/1/2012,"9,500.00","7,575.76","1,924.24",Murtaka Base,Gas Manifold
E-STN-HYDRO-0114,N290,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2013,"40,000.00","27,141.76","12,858.24",Murtaka Base,Sto Tank
F-GEN-AAAAA-0064,FGWNAV02CF0809741 / SWT-GEN-022,Generator 275 KVA,KIU,SWT,120,6/1/2012,"65,000.00","52,909.02","12,090.98",Murtaka Base,Generator
I-OIM-H0314-0008,MFD-E-6371-3-11,"Oil Manifold 3.00"" 1440 psi",KIU,SWT,120,6/1/2012,"23,000.00","18,341.77","4,658.23",Murtaka Base,Oil Manifold
E-STN-HYDRO-0117,N293,Storage Tank 500 bbls Atmospheric Rectangular Hydrocarbon,KIU,SWT,120,9/1/2013,"40,000.00","27,141.76","12,858.24",DNO P-13,Sto Tank
I-ESD-AAAAA-0012,2634.12.11,ESD Panel,KIU,SWT,120,11/1/2013,"39,209.00","27,393.70","11,815.30",Murtaka Base,ESD
F-AIC-AAAAA-0038,Comp-811375,Air Compressor 800 CFM,KIU,SWT,120,9/1/2013,"38,000.00","25,784.64","12,215.36",,Air Compressor
F-AIC-AAAAA-0039,453555UDXD45,Air Compressor 425 CFM,KIU,SWT,120,9/1/2013,"38,000.00","25,784.64","12,215.36",,Air Compressor
F-AIC-AAAAA-0073,1040-KIU-01,Air Compressor 425 CFM,KIU,SWT,120,9/1/2013,"38,000.00","25,784.64","12,215.36",,Air Compressor
F-GEN-AAAAA-0106,,Generator 180 KVA,KIU,SLS,120,3/31/2013,"43,500.00","30,033.05","13,466.95",,Generator
F-CON-AAAAA-0063,SWT/KIU/4937/14/000989,Container 20 feet DST,KIU,SWT,120,2/1/2015,"37,900.00","28,759.27","9,140.73",,Lab  Cabin
I-FLT-AAAAA-4216,,HP/LP Flare Stack and Tip,KIU,SWT,120,9/1/2012,"37,569.00","29,596.33","7,972.67",,Flare Stack
F-LAC-AAANP-0014,ACB-J12042-001 / FFZ970,Lab Cabin Non-Pressurized (Mounted on Trailer),CEU,SWT,120,7/1/2014,"36,183.00","22,963.75","13,219.25",,Lab  Cabin
I-ESD-AAAAA-0037,3046.05.12,ESD Panel,KIU,SWT,120,6/1/2014,"35,680.00","26,167.67","9,512.33",Murtaka Base,ESD
I-ESD-AAAAA-0038,3229.08.12,ESD Panel,KIU,SWT,120,6/1/2014,"35,680.00","26,167.48","9,512.52",Murtaka Base,ESD
I-ESD-AAAAA-0039,3045.5.12,ESD Panel,KIU,SWT,120,7/1/2014,"35,680.00","25,877.03","9,802.97",,ESD
I-CIP-AAA10-0060,,Flomore Model 5024 Chemical Injection Pump,KIU,SWT,120,12/1/2018,"2,767.22",322.73,"2,444.49",Murtaka Base,Pump Chemical Injection
F-AIC-AAAAA-0043,453557UDXD45/SWT-DAC-013,Air Compressor 425 CFM,KIU,SWT,120,6/1/2012,"35,000.00","27,141.04","7,858.96",,Air Compressor
F-AIC-AAAAA-0049,COMP-1135073,Air Compressor 75 CFM,KIU,SWT,120,6/1/2012,"35,000.00","27,141.04","7,858.96",,Air Compressor
F-LAC-AAANP-0022,MLCU-300802-0,Lab Cabin Non-Pressurized,CEU,SWT,120,6/1/2012,"35,000.00","28,489.31","6,510.69",,lab  Cabin
F-TRB-AAAFH-0067,1010658-03 / ME1886,Basket Flowhead,CEU,SWT,120,6/1/2012,"35,000.00","27,141.04","7,858.96",,Flow Head Basket
I-VFS-AAA00-0011,VSTL-2014-01,Gas Flare Stack 60 ft.,CEU,SWT,120,9/1/2011,"35,000.00","31,095.44","3,904.56",,Flare Stack
F-TRB-AAAFH-0066,I08857-1,Basket Flowhead,KIU,SWT,120,4/21/2010,"34,915.50","33,920.40",995.10,,Flow Head Basket
